Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,106.169998,109.930000,103.260002,107.830002,102.163986,12139300
2015-01-01,107.669998,108.410004,100.209999,103.940002,98.478386,16812800
2015-02-01,102.980003,110.849998,98.570000,107.680000,102.021858,13932300
2015-03-01,109.260002,111.400002,98.419998,101.029999,95.721306,22421800
2015-04-01,101.120003,111.199997,93.949997,107.040001,101.415497,37355900
2015-05-01,107.500000,114.139999,105.019997,112.300003,107.198990,13692100
2015-06-01,112.190002,113.680000,103.220001,104.129997,99.400085,17052900
2015-07-01,107.739998,108.169998,96.779999,99.169998,94.665398,32569100
2015-08-01,99.339996,100.080002,82.070000,91.019997,86.885590,34110300
2015-09-01,89.760002,94.500000,82.099998,87.980003,83.983681,25904600
2015-10-01,86.239998,94.410004,84.449997,92.790001,88.575188,22923200
2015-11-01,94.279999,96.629997,88.629997,92.720001,88.508369,25486900
2015-12-01,93.129997,93.510002,85.680000,88.769997,84.737785,14143400
2016-01-01,87.290001,91.930000,77.169998,91.839996,87.668343,27518800
2016-02-01,91.019997,92.739998,80.239998,91.019997,86.885590,18454500
2016-03-01,92.959999,101.919998,92.089996,100.389999,95.829979,12391700
2016-04-01,99.400002,102.599998,95.129997,96.599998,92.212120,13039900
2016-05-01,96.699997,100.489998,90.430000,99.980003,95.438583,14845000
2016-06-01,98.910004,101.410004,91.150002,99.209999,95.829414,19668900
2016-07-01,98.370003,110.849998,92.839996,109.620003,105.884689,21127000
2016-08-01,109.620003,111.580002,104.730003,106.550003,102.919312,19715900
2016-09-01,106.320000,110.139999,100.830002,109.580002,105.846062,13852100
2016-10-01,109.360001,109.849998,100.040001,105.620003,102.020996,15362400
2016-11-01,105.650002,105.680000,98.709999,103.129997,99.615845,26441600
2016-12-01,102.669998,112.660004,98.839996,112.199997,108.376778,12813800
2017-01-01,110.980003,125.879997,109.620003,121.400002,117.263290,22117400
2017-02-01,121.650002,127.599998,121.000000,121.690002,117.543404,21953800
2017-03-01,122.500000,134.289993,119.830002,132.800003,128.274826,19637000
2017-04-01,132.350006,134.949997,126.040001,131.850006,127.357216,16847800
2017-05-01,132.050003,137.270004,131.619995,131.990005,128.758240,15739300
2017-06-01,132.899994,136.070007,126.029999,130.309998,127.119370,20818500
2017-07-01,131.100006,155.729996,129.330002,150.330002,146.649185,20678600
2017-08-01,151.949997,156.669998,148.949997,156.309998,152.482758,13388600
2017-09-01,157.160004,171.529999,153.470001,171.199997,167.008163,17410500
2017-10-01,170.389999,180.970001,167.699997,180.750000,176.324341,19460400
2017-11-01,182.679993,186.369995,172.089996,175.520004,171.222397,17296400
2017-12-01,174.009995,177.490005,168.300003,173.820007,169.564026,17594300
2018-01-01,174.139999,208.580002,173.979996,202.960007,197.990524,23239700
2018-02-01,202.080002,203.399994,175.880005,195.389999,190.605881,21083800
2018-03-01,193.160004,216.000000,189.029999,198.559998,193.698257,19885400
2018-04-01,197.470001,213.350006,187.630005,188.449997,183.835800,22893200
2018-05-01,188.500000,204.160004,187.979996,196.649994,193.534180,14045200
2018-06-01,200.389999,216.899994,190.039993,197.970001,194.833267,15450900
2018-07-01,193.619995,221.660004,189.809998,214.000000,210.609283,24171500
2018-08-01,214.009995,216.119995,193.899994,205.050003,201.801102,14273700
2018-09-01,199.050003,199.899994,172.690002,188.020004,185.040939,19193800
2018-10-01,190.869995,192.520004,157.949997,172.360001,169.629044,21594400
2018-11-01,171.029999,178.679993,156.580002,171.350006,168.635056,29728500
2018-12-01,173.860001,178.199997,144.500000,155.619995,153.154282,21465000
2019-01-01,154.279999,177.589996,147.380005,175.029999,172.256744,20183600
2019-02-01,176.789993,188.270004,176.179993,182.869995,179.972519,14557900
2019-03-01,184.410004,195.460007,175.570007,188.050003,185.070450,13070500
2019-04-01,191.240005,209.009995,190.759995,208.820007,205.511368,12298300
2019-05-01,209.919998,210.869995,186.899994,188.050003,187.236923,15230000
2019-06-01,188.580002,209.770004,186.309998,207.929993,207.030960,10913600
2019-07-01,215.970001,234.500000,204.360001,222.809998,221.846634,15119900
2019-08-01,225.979996,229.970001,207.070007,222.610001,221.647491,10648300
2019-09-01,220.649994,252.110001,218.899994,248.419998,247.345901,12659600
2019-10-01,249.169998,269.390015,238.289993,261.970001,260.837311,18718300
2019-11-01,267.209991,276.230011,264.690002,270.619995,269.449921,10375500
